,movie_title,total
0,avatar,James CameronJoel David MooreAction Adventure Fantasy Sci-FiCCH PounderWes Studi
1,pirates of the caribbean: at world's end,Gore VerbinskiOrlando BloomAction Adventure FantasyJohnny DeppJack Davenport
2,spectre,Sam MendesRory KinnearAction Adventure ThrillerChristoph WaltzStephanie Sigman
3,the dark knight rises,Christopher NolanChristian BaleAction ThrillerTom HardyJoseph Gordon-Levitt
4,star wars: episode vii - the force awakens            ,Doug WalkerRob WalkerDocumentaryDoug Walkerunknown
5,john carter,Andrew StantonSamantha MortonAction Adventure Sci-FiDaryl SabaraPolly Walker
6,spider-man 3,Sam RaimiJames FrancoAction Adventure RomanceJ.K. SimmonsKirsten Dunst
7,tangled,Nathan GrenoDonna MurphyAdventure Animation Comedy Family Fantasy Musical RomanceBrad GarrettM.C. Gainey
8,avengers: age of ultron,Joss WhedonRobert Downey Jr.Action Adventure Sci-FiChris HemsworthScarlett Johansson
9,harry potter and the half-blood prince,David YatesDaniel RadcliffeAdventure Family Fantasy MysteryAlan RickmanRupert Grint
10,batman v superman: dawn of justice,Zack SnyderLauren CohanAction Adventure Sci-FiHenry CavillAlan D. Purwin
11,superman returns,Bryan SingerMarlon BrandoAction Adventure Sci-FiKevin SpaceyFrank Langella
12,quantum of solace,Marc ForsterMathieu AmalricAction AdventureGiancarlo GianniniRory Kinnear
13,pirates of the caribbean: dead man's chest,Gore VerbinskiOrlando BloomAction Adventure FantasyJohnny DeppJack Davenport
14,the lone ranger,Gore VerbinskiRuth WilsonAction Adventure WesternJohnny DeppTom Wilkinson
15,man of steel,Zack SnyderChristopher MeloniAction Adventure Fantasy Sci-FiHenry CavillHarry Lennix
16,the chronicles of narnia: prince caspian,Andrew AdamsonPierfrancesco FavinoAction Adventure Family FantasyPeter DinklageDamián Alcázar
17,the avengers,Joss WhedonRobert Downey Jr.Action Adventure Sci-FiChris HemsworthScarlett Johansson
18,pirates of the caribbean: on stranger tides,Rob MarshallSam ClaflinAction Adventure FantasyJohnny DeppStephen Graham
19,men in black 3,Barry SonnenfeldMichael StuhlbargAction Adventure Comedy Family Fantasy Sci-FiWill SmithNicole Scherzinger
20,the hobbit: the battle of the five armies,Peter JacksonAdam BrownAdventure FantasyAidan TurnerJames Nesbitt
21,the amazing spider-man,Marc WebbAndrew GarfieldAction Adventure FantasyEmma StoneChris Zylka
22,robin hood,Ridley ScottWilliam HurtAction Adventure Drama HistoryMark AddyScott Grimes
23,the hobbit: the desolation of smaug,Peter JacksonAdam BrownAdventure FantasyAidan TurnerJames Nesbitt
24,the golden compass,Chris WeitzEva GreenAdventure Family FantasyChristopher LeeKristin Scott Thomas
25,king kong,Peter JacksonThomas KretschmannAction Adventure Drama RomanceNaomi WattsEvan Parke
26,titanic,James CameronKate WinsletDrama RomanceLeonardo DiCaprioGloria Stuart
27,captain america: civil war,Anthony RussoScarlett JohanssonAction Adventure Sci-FiRobert Downey Jr.Chris Evans
28,battleship,Peter BergAlexander SkarsgårdAction Adventure Sci-Fi ThrillerLiam NeesonTadanobu Asano
29,jurassic world,Colin TrevorrowJudy GreerAction Adventure Sci-Fi ThrillerBryce Dallas HowardOmar Sy
30,skyfall,Sam MendesHelen McCroryAction Adventure ThrillerAlbert FinneyRory Kinnear
31,spider-man 2,Sam RaimiJames FrancoAction Adventure Fantasy RomanceJ.K. SimmonsKirsten Dunst
32,iron man 3,Shane BlackJon FavreauAction Adventure Sci-FiRobert Downey Jr.Don Cheadle
33,alice in wonderland,Tim BurtonAlan RickmanAdventure Family FantasyJohnny DeppAnne Hathaway
34,x-men: the last stand,Brett RatnerKelsey GrammerAction Adventure Fantasy Sci-Fi ThrillerHugh JackmanDaniel Cudmore
35,monsters university,Dan ScanlonTyler LabineAdventure Animation Comedy Family FantasySteve BuscemiSean Hayes
36,transformers: revenge of the fallen,Michael BayKevin DunnAction Adventure Sci-FiGlenn MorshowerRamon Rodriguez
37,transformers: age of extinction,Michael BaySophia MylesAction Adventure Sci-FiBingbing LiKelsey Grammer
38,oz the great and powerful,Sam RaimiMila KunisAdventure Family FantasyTim HolmesJames Franco
39,the amazing spider-man 2,Marc WebbAndrew GarfieldAction Adventure Fantasy Sci-FiEmma StoneB.J. Novak
40,tron: legacy,Joseph KosinskiOlivia WildeAction Adventure Sci-FiJeff BridgesJames Frain
41,cars 2,John LasseterThomas KretschmannAdventure Animation Comedy Family SportJoe MantegnaEddie Izzard
42,green lantern,Martin CampbellTemuera MorrisonAction Adventure Sci-FiRyan ReynoldsTaika Waititi
43,toy story 3,Lee UnkrichJohn RatzenbergerAdventure Animation Comedy Family FantasyTom HanksDon Rickles
44,terminator salvation,McGBryce Dallas HowardAction Adventure Sci-FiChristian BaleCommon
45,furious 7,James WanPaul WalkerAction Crime ThrillerJason StathamVin Diesel
46,world war z,Marc ForsterBrad PittAction Adventure Horror Sci-Fi ThrillerPeter CapaldiMireille Enos
47,x-men: days of future past,Bryan SingerPeter DinklageAction Adventure Fantasy Sci-Fi ThrillerJennifer LawrenceHugh Jackman
48,star trek into darkness,J.J. AbramsBruce GreenwoodAction Adventure Sci-FiBenedict CumberbatchNoel Clarke
49,jack the giant slayer,Bryan SingerEwen BremnerAdventure FantasyEddie MarsanRalph Brown
50,the great gatsby,Baz LuhrmannElizabeth DebickiDrama RomanceLeonardo DiCaprioSteve Bisley
51,prince of persia: the sands of time,Mike NewellRichard CoyleAction Adventure Fantasy RomanceJake GyllenhaalReece Ritchie
52,pacific rim,Guillermo del ToroClifton Collins Jr.Action Adventure Sci-FiCharlie HunnamLarry Joe Campbell
53,transformers: dark of the moon,Michael BayLester SpeightAction Adventure Sci-FiGlenn MorshowerKevin Dunn
54,indiana jones and the kingdom of the crystal skull,Steven SpielbergRay WinstoneAction Adventure FantasyHarrison FordJim Broadbent
55,the good dinosaur,Peter SohnJack McGrawAdventure Animation Comedy Family FantasyA.J. BuckleyPeter Sohn
56,brave,Mark AndrewsJohn RatzenbergerAdventure Animation Comedy Family FantasyKelly MacdonaldJulie Walters
57,star trek beyond,Justin LinMelissa RoxburghAction Adventure Sci-Fi ThrillerSofia BoutellaLydia Wilson
58,wall·e,Andrew StantonFred WillardAdventure Animation Family Sci-FiJohn RatzenbergerJeff Garlin
59,rush hour 3,Brett RatnerDana IveyAction Comedy Crime ThrillerTzi MaNoémie Lenoir
60,2012,Roland EmmerichLiam JamesAction Adventure Sci-FiOliver PlattTom McCarthy
61,a christmas carol,Robert ZemeckisColin FirthAnimation Drama Family FantasyRobin WrightGary Oldman
